"datetime_utc","datetime_utc_matlab","latitude","longitude","toi_source","cast","niskin","depth_mat_file","depth_API_bottle_summary","O2_Ar_delta","O2_Ar_ratio","D17","d17","d18"
2018-07-23 10:44:43,737264.43125,39.7701,-70.9806,"toi_niskin",20,1,44,44.118,7.7451,22.6009,157.033,-0.5443,-1.3532
2018-07-23 10:48:54,737264.43125,39.7698,-70.9793,"toi_niskin",20,3,6,5.403,-55.0946,21.1916,33.1188,0.1509,0.2274
2018-07-23 11:45:00,737264.489583333,39.7727,-71.1004,"toi_underway",NA,NA,5,NA,-60.3025,21.0748,49.1458,0.213,0.3164
2018-07-23 14:03:59,737264.586111111,39.7638,-70.8577,"toi_underway",NA,NA,5,NA,-57.8428,21.1299,41.6527,0.1852,0.2772
2018-07-23 14:06:00,737264.5875,39.7635,-70.8569,"toi_underway",NA,NA,5,NA,-58.2588,21.1206,43.2057,0.1831,0.2702
2018-07-23 13:55:32,737264.540972222,39.765,-70.8604,"toi_niskin",21,9,40,40.476,-208.1384,17.7592,82.9555,1.2651,2.2851
2018-07-23 13:57:45,737264.540972222,39.7647,-70.8597,"toi_niskin",21,10,30,30.159,30.8188,23.1184,168.557,-0.5393,-1.3658
2018-07-23 14:04:05,737264.540972222,39.7638,-70.8577,"toi_niskin",21,19,5,4.622,-55.5567,21.1812,40.9529,0.1474,0.2055
2018-07-23 14:04:05,737264.540972222,39.7638,-70.8577,"toi_niskin",21,19,5,4.622,-55.3613,21.1856,44.4546,0.1522,0.2081
2018-07-23 17:29:59,737264.729166667,39.9412,-70.7678,"toi_underway",NA,NA,5,NA,-69.3187,20.8726,42.1629,0.2498,0.4011
2018-07-23 19:19:59,737264.805555556,40.141,-70.7642,"toi_underway",NA,NA,5,NA,-65.4934,20.9584,33.9623,0.1986,0.3179
2018-07-23 20:59:00,737264.874305556,40.3669,-70.767,"toi_underway",NA,NA,5,NA,-49.8794,21.3085,49.5255,0.1417,0.1779
2018-07-23 22:16:59,737264.928472222,40.5217,-70.8845,"toi_underway",NA,NA,5,NA,-36.5142,21.6083,61.5826,0.0566,-0.0097
2018-07-24 00:17:59,737265.0125,40.8646,-70.8842,"toi_underway",NA,NA,5,NA,-42.4857,21.4744,56.6923,0.0718,0.0292
2018-07-24 01:27:59,737265.061111111,40.697,-70.883,"toi_underway",NA,NA,5,NA,-15.3117,22.0838,71.6052,-0.0329,-0.2018
2018-07-24 03:39:00,737265.152083333,40.3651,-70.8763,"toi_underway",NA,NA,5,NA,-60.1913,21.0773,49.4082,0.211,0.3121
2018-07-24 04:32:59,737265.189583333,40.2267,-70.8796,"toi_underway",NA,NA,5,NA,-63.4976,21.0031,33.1764,0.2074,0.3365
2018-07-24 05:20:59,737265.222916667,40.1016,-70.8736,"toi_underway",NA,NA,5,NA,-57.3776,21.1404,42.8762,0.1976,0.2988
2018-07-24 07:30:00,737265.3125,39.7741,-70.8789,"toi_underway",NA,NA,5,NA,-71.747,20.8181,38.0005,0.2846,0.4764
2018-07-24 11:39:00,737265.485416667,39.9487,-70.8789,"toi_underway",NA,NA,5,NA,-50.4393,21.296,62.3476,0.1578,0.1844
2018-07-24 13:04:59,737265.545138889,40.105,-70.8891,"toi_underway",NA,NA,5,NA,-50.4425,21.2959,48.5256,0.1348,0.1665
2018-07-24 14:03:59,737265.586111111,40.228,-70.8892,"toi_underway",NA,NA,5,NA,-66.1398,20.9439,45.9578,0.2703,0.4333
2018-07-24 15:33:00,737265.647916667,40.3676,-70.8875,"toi_niskin",29,9,0,NA,-63.1473,21.011,50.1684,0.2445,0.3754
2018-07-24 16:49:59,737265.701388889,40.5148,-70.8794,"toi_underway",NA,NA,5,NA,-54.3211,21.2089,55.9325,0.2123,0.3021
2018-07-24 18:25:59,737265.768055556,40.6976,-70.8805,"toi_underway",NA,NA,5,NA,-37.489,21.5864,66.5418,0.1225,0.1082
2018-07-24 19:52:00,737265.827777778,40.8627,-70.8775,"toi_underway",NA,NA,5,NA,-52.1439,21.2578,48.4979,0.1756,0.2455
2018-07-24 21:08:00,737265.880555556,41.0273,-70.8858,"toi_underway",NA,NA,5,NA,-51.9709,21.2616,55.2894,0.1262,0.1369
2018-07-24 23:06:00,737265.9625,41.1967,-70.8824,"toi_underway",NA,NA,5,NA,-47.5123,21.3616,87.1371,-0.43,-0.9981
2018-07-25 01:23:00,737266.057638889,41.3247,-70.5852,"toi_underway",NA,NA,5,NA,-65.803,20.9514,74.5675,-0.2476,-0.6218
2018-07-25 01:19:12,737266.052777778,41.3242,-70.5855,"toi_niskin",35,1,14,13.875,-67.3319,20.9171,76.7949,-0.2408,-0.613
2018-07-25 01:22:41,737266.052777778,41.3247,-70.5852,"toi_niskin",35,7,5,4.181,-63.5206,21.0026,71.686,-0.2724,-0.6642
2018-07-25 01:22:41,737266.052777778,41.3247,-70.5852,"toi_niskin",35,7,5,4.181,-62.6694,21.0217,72.5723,-0.2804,-0.6812
